Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Gender,Exam_Score
24,66,High,Low,8,81,Male,65
16,100,High,Low,8,63,Male,69
21,67,Medium,Medium,7,96,Female,64
20,80,Medium,High,5,94,Female,67
16,94,High,High,9,76,Male,70
33,61,Medium,Medium,7,99,Female,70
24,84,High,Low,7,65,Female,69
8,71,High,Low,8,75,Male,61
21,94,Medium,Medium,7,96,Male,69
16,71,High,Medium,5,73,Male,63
25,87,Medium,Low,7,74,Male,67
15,87,Low,Medium,4,54,Male,65
19,69,Medium,Medium,7,61,Male,66
23,61,Low,Medium,9,58,Male,63
25,76,Medium,High,4,78,Female,68
13,72,High,High,7,66,Male,65
18,92,Low,Medium,8,54,Male,67
17,92,Low,Low,8,75,Female,68
16,78,Medium,High,6,83,Male,64
31,84,Medium,Medium,5,87,Male,71
22,84,Medium,Medium,6,92,Female,69
12,93,Medium,Medium,9,74,Male,67
26,77,Low,Medium,4,70,Female,65
33,71,Low,Medium,5,84,Male,68
26,71,High,Medium,6,51,Male,67
11,81,Medium,Medium,6,82,Male,67
17,78,Medium,High,7,70,Male,66
28,78,High,Medium,9,73,Female,70
16,64,High,Low,5,65,Female,65
23,89,Low,Low,7,56,Female,69
25,69,Medium,Medium,7,70,Female,65
14,68,High,Medium,6,65,Male,63
20,77,Medium,Medium,5,98,Female,67
1,69,High,Medium,6,97,Female,61
14,83,Medium,Low,6,82,Female,65
18,75,Low,High,8,95,Female,66
13,78,Medium,High,8,88,Male,66
30,81,Medium,Low,5,67,Male,69
11,68,Medium,Medium,6,80,Female,63
17,66,Low,High,6,61,Male,65
21,95,Low,Low,10,84,Male,67
29,77,High,High,7,52,Female,69
11,76,Low,Medium,5,92,Male,65
27,61,Medium,Medium,6,79,Male,65
20,80,High,Low,6,53,Male,65
14,82,Medium,High,8,94,Female,67
23,82,Low,Medium,8,94,Male,66
21,88,Medium,High,7,93,Female,72
16,67,Medium,High,7,89,Male,66
20,70,Medium,Medium,7,84,Male,65
18,92,High,Medium,7,70,Male,69
21,98,Medium,Low,4,57,Female,68
24,65,Medium,Low,7,64,Male,64
30,80,Low,High,6,67,Female,69
13,69,Medium,Low,5,68,Female,59
33,62,High,Medium,10,78,Female,68
8,73,Medium,Medium,7,60,Female,60
19,66,Medium,High,7,59,Male,62
24,88,Low,Medium,6,86,Male,67
22,81,Low,High,8,50,Female,68
16,66,Medium,High,5,57,Female,64
19,60,Medium,High,7,72,Female,65
17,92,Low,Low,6,57,Female,65
16,67,High,Medium,8,98,Female,63
25,84,Medium,Low,6,84,Male,70
22,73,Low,Medium,9,72,Female,66
16,83,Medium,High,7,56,Female,68
25,73,Low,Low,8,69,Female,66
22,63,Low,Low,8,83,Male,63
25,69,High,Medium,9,98,Female,66
24,68,Medium,Medium,6,74,Female,65
15,77,Medium,Medium,8,85,Male,66
17,86,High,Low,4,60,Female,67
24,71,Medium,Medium,7,81,Male,66
24,60,Low,Medium,6,62,Female,63
20,81,Medium,Medium,5,60,Male,66
21,84,Medium,Medium,6,75,Male,67
28,99,Medium,Medium,6,61,Male,71
16,84,Medium,High,7,86,Female,67
23,79,Medium,High,6,97,Male,69
19,83,Medium,Medium,7,70,Female,67
19,97,High,Medium,6,66,Female,72
27,93,High,Low,6,59,Female,70
25,73,Medium,High,7,70,Male,67
25,69,Low,High,7,78,Female,64
28,71,Medium,Medium,8,69,Female,67
20,80,Low,High,8,81,Male,69
24,90,Low,Low,7,83,Male,68
18,80,Medium,Medium,8,55,Male,63
22,63,Medium,High,7,85,Female,68
19,89,High,Medium,7,95,Male,70
21,92,Medium,Low,8,51,Male,66
24,72,High,High,6,78,Female,68
15,87,High,Low,4,80,Male,67
33,77,Low,High,5,85,Female,69
14,96,Medium,Low,9,69,Female,66
13,94,Medium,Medium,7,91,Male,68
27,81,Medium,Medium,7,77,Female,69
25,88,Medium,Medium,7,70,Male,70
24,95,Medium,High,8,86,Male,74
24,80,Medium,High,7,96,Female,70
20,73,Medium,Medium,7,91,Male,66
15,90,High,Medium,8,97,Female,69
20,69,Medium,High,6,63,Male,64
16,76,Low,High,8,56,Male,62
26,95,Low,High,7,77,Female,70
19,89,High,Medium,7,52,Male,68
15,76,Medium,Medium,6,84,Female,65
18,69,High,High,7,62,Male,65
22,74,High,High,6,73,Female,71
17,71,High,Medium,9,83,Male,66
15,67,Medium,Medium,4,74,Male,61
21,90,Low,Medium,8,62,Male,67
21,70,Low,High,4,94,Male,65
17,78,Medium,High,8,88,Female,65
17,75,Medium,High,6,80,Male,65
21,99,Medium,Medium,8,85,Male,73
11,76,Medium,Medium,7,71,Male,62
12,63,Medium,High,5,69,Female,60
16,64,Low,Medium,9,58,Female,61
19,84,Low,Medium,8,90,Male,67
22,84,High,Medium,8,69,Male,70
29,77,Low,High,6,85,Male,69
25,77,Medium,Low,8,65,Female,66
19,62,Medium,Medium,5,90,Male,64
20,81,High,Medium,4,55,Male,68
14,80,High,Medium,5,81,Female,67
20,66,Medium,Medium,6,90,Female,64
18,64,Medium,Medium,6,83,Male,65
22,65,Low,High,6,85,Female,66
15,64,Medium,Medium,6,76,Female,63
23,84,High,Medium,6,78,Female,68
29,68,Medium,High,4,53,Male,66
19,70,Medium,Medium,7,63,Male,63
22,67,Low,Medium,7,86,Female,63
24,98,High,Medium,6,97,Male,74
18,94,Medium,High,9,77,Male,70
21,69,High,High,7,86,Male,68
20,73,Medium,Medium,7,84,Female,66
21,68,Medium,Low,8,100,Male,63
15,80,Low,High,5,90,Female,67
20,61,Medium,Medium,7,81,Male,62
23,87,High,High,8,56,Male,71
29,81,High,Medium,7,68,Male,72
26,96,Medium,Medium,5,63,Male,72
33,67,Medium,Medium,6,93,Female,68
15,92,Medium,Low,7,72,Female,66
25,92,Medium,Medium,4,77,Male,70
21,65,Medium,Low,5,98,Male,66
33,76,Medium,Medium,10,92,Female,72
15,67,High,Medium,8,89,Female,64
15,70,High,Medium,9,57,Female,63
16,71,Medium,Medium,8,51,Female,61
7,82,High,High,8,56,Male,62
17,76,Medium,High,7,87,Female,68
15,98,Low,Medium,8,71,Male,68
21,65,Low,Medium,9,56,Male,63
22,99,Medium,Low,8,87,Female,70
31,69,High,Low,7,60,Female,68
26,91,High,Medium,7,79,Female,72
17,74,Medium,Medium,8,87,Male,67
15,66,Low,High,6,80,Male,61
23,94,Low,Medium,8,100,Male,69
12,72,Medium,Low,6,72,Female,61
31,86,High,High,6,66,Male,75
27,83,High,Low,5,60,Female,68
17,79,Medium,Low,6,75,Male,65
10,80,High,Medium,6,93,Female,67
28,89,Medium,High,10,97,Female,75
19,64,Low,Medium,6,99,Male,64
27,87,Medium,Medium,8,77,Male,70
10,96,High,High,6,80,Female,67
16,62,Medium,Medium,7,79,Male,63
20,66,High,High,7,73,Female,65
20,89,Medium,Medium,4,58,Female,67
17,77,Low,High,5,53,Male,86
24,76,Low,High,6,72,Female,67
14,65,High,Medium,5,59,Male,63
19,80,Medium,Medium,7,94,Female,66
21,65,High,High,7,88,Male,65
23,79,Medium,Medium,5,81,Female,67
24,91,Medium,Medium,7,52,Male,69
13,70,High,High,6,81,Male,66
11,79,Medium,Medium,7,81,Male,64
28,100,High,Low,6,72,Female,73
22,87,Low,Medium,8,83,Male,66
16,94,Medium,Medium,9,93,Female,68
29,77,High,Low,8,88,Male,70
21,91,High,Medium,9,74,Female,69
27,62,Medium,High,5,63,Female,67
20,65,Medium,Low,6,74,Male,62
32,68,Medium,Low,8,97,Male,68
31,76,Medium,High,9,91,Male,72
19,94,Low,Medium,8,51,Male,69
26,74,Low,Low,5,89,Male,66
24,86,High,High,6,59,Female,70
28,88,High,Medium,8,79,Male,71
14,83,Medium,Medium,7,90,Female,65
24,74,High,Medium,6,78,Female,70
26,83,Low,Low,7,70,Male,65
9,74,Medium,High,7,66,Female,62
13,63,High,Medium,5,65,Male,62
8,100,High,Medium,8,92,Female,70
18,65,Medium,High,6,91,Male,66
24,63,High,Low,7,91,Female,67
29,95,Medium,Low,9,64,Female,72
20,72,High,Low,7,90,Female,66
30,86,Medium,Low,8,52,Female,68
12,73,High,Medium,5,60,Male,62
10,76,Low,Medium,8,76,Male,64
20,70,Medium,Medium,8,70,Female,65
22,74,Medium,Low,6,56,Male,66
20,76,Medium,Low,7,52,Female,64
8,89,Medium,High,7,81,Male,67
19,80,High,Medium,7,66,Female,69
12,98,High,Medium,8,51,Male,68
24,62,Medium,Medium,6,72,Male,64
22,80,High,Medium,7,65,Female,68
14,83,Low,Low,9,79,Male,64
17,97,Medium,High,9,96,Male,71
14,62,High,High,8,65,Male,61
20,83,Low,Medium,7,100,Male,68
26,94,High,Medium,10,54,Male,73
14,70,High,Medium,9,54,Male,64
23,95,Medium,Medium,7,86,Male,72
17,61,Medium,Medium,7,87,Male,65
15,89,Medium,Medium,6,71,Female,68
19,97,High,Low,8,64,Male,71
14,86,Medium,Low,8,90,Male,65
17,78,Medium,Medium,8,98,Male,66
13,62,Low,High,7,99,Female,63
32,97,Medium,High,5,82,Male,74
20,79,High,Low,7,87,Female,66
16,61,Medium,Low,8,91,Male,63
21,88,High,Medium,6,90,Male,72
19,79,Medium,High,7,100,Female,69
19,65,Medium,High,9,91,Male,67
24,69,Low,High,5,83,Male,66
25,63,High,Medium,7,69,Female,64
17,83,Low,Medium,9,80,Female,67
17,85,Medium,Low,7,94,Female,69
18,80,Medium,Low,6,65,Female,65
6,93,Medium,Medium,7,52,Female,64
11,94,Medium,Low,8,66,Female,65
28,85,Medium,High,7,98,Male,72
30,61,Low,High,8,90,Female,66
19,88,Medium,Low,7,59,Female,66
23,77,High,High,7,51,Male,67
22,83,Medium,Medium,8,83,Male,69
38,86,Low,High,7,79,Male,73
27,74,Medium,High,6,54,Female,69
19,97,Medium,Low,8,98,Male,68
14,65,Low,Medium,7,81,Female,61
10,87,Medium,Low,6,83,Male,63
21,60,Medium,High,8,93,Female,63
15,97,Low,Medium,9,67,Male,68
11,65,Medium,High,7,78,Female,63
16,64,High,Medium,7,79,Female,66
14,73,High,Medium,5,98,Female,65
30,75,High,High,7,57,Female,68
25,69,Medium,Medium,7,88,Female,66
20,83,Low,Low,7,79,Male,66
29,78,High,Medium,6,92,Male,70
20,61,Low,Low,8,92,Female,61
15,73,Medium,Low,7,51,Male,61
29,92,Medium,Medium,10,63,Male,71
23,88,Low,Medium,7,59,Male,67
14,89,High,High,4,73,Male,70
19,88,High,Medium,5,95,Male,69
15,72,High,High,8,50,Female,65
12,64,High,Low,6,74,Male,61
26,71,Medium,Low,6,94,Male,68
31,93,High,Low,5,96,Male,74
12,99,Medium,Medium,6,83,Female,67
23,80,Medium,Medium,7,91,Female,70
16,60,Low,Medium,8,66,Female,59
17,66,High,High,5,64,Male,64
16,73,High,Medium,8,52,Female,66
15,83,Low,Low,5,75,Female,63
20,63,Low,Low,8,73,Female,61
15,98,Low,High,8,69,Female,68
22,75,Medium,Medium,6,56,Male,65
20,97,Medium,High,5,62,Male,69
19,91,High,Low,8,60,Male,68
15,90,Medium,Low,6,97,Male,69
17,84,Medium,Low,7,98,Female,67
25,85,High,High,8,50,Female,70
23,86,Medium,Medium,8,59,Female,68
14,85,Medium,Medium,6,94,Male,67
21,82,High,Medium,7,52,Male,67
25,99,High,Medium,6,97,Male,75
10,89,Low,Low,8,69,Male,63
23,91,Low,Medium,9,77,Male,70
16,95,Medium,Low,6,88,Female,70
23,69,Medium,High,7,62,Male,64
15,63,Medium,Low,8,55,Female,59
9,79,Medium,Low,7,90,Male,63
10,81,High,Medium,8,99,Female,67
20,93,Low,High,7,83,Male,68
22,78,Medium,Medium,5,91,Male,68
15,83,Medium,Medium,7,97,Female,97
24,81,Medium,Low,9,61,Female,66
10,62,Medium,Low,7,68,Male,61
20,85,High,Medium,9,61,Male,70
13,93,Low,Low,4,53,Male,65
16,66,Low,Medium,8,87,Female,64
20,84,Medium,High,6,57,Female,69
15,84,Medium,High,6,55,Male,64
18,67,Low,Low,9,68,Male,61
26,65,Low,Medium,7,53,Female,64
17,99,Medium,High,6,59,Male,68
25,76,Medium,High,8,53,Female,67
13,69,High,Low,4,94,Male,62
23,67,Medium,Medium,9,89,Female,66
29,87,Medium,High,10,93,Male,72
5,84,Medium,Medium,8,93,Male,68
15,86,Medium,High,8,97,Male,71
23,64,Medium,Medium,7,59,Female,65
19,96,Medium,Low,5,95,Female,68
22,76,Medium,Low,9,76,Female,65
16,73,High,Low,8,58,Female,64
21,78,Medium,Low,8,83,Male,65
19,76,High,High,8,66,Male,65
27,95,High,Medium,7,52,Female,73
22,97,Medium,High,6,54,Male,72
22,72,Low,Medium,10,71,Male,64
18,95,Medium,Medium,7,91,Male,69
17,91,Medium,Medium,6,66,Male,69
17,97,Medium,High,9,88,Male,70
22,70,Low,Medium,7,53,Female,83
17,83,High,Medium,7,70,Female,68
22,71,Low,High,9,56,Female,84
32,93,Medium,Medium,8,93,Female,75
25,60,Low,High,8,98,Female,67
18,83,Medium,High,5,66,Male,69
27,74,High,Medium,8,99,Male,71
18,73,Medium,Low,5,88,Female,66
8,86,Medium,High,6,50,Male,65
14,94,High,Medium,7,74,Male,70
9,84,High,Low,7,92,Male,66
18,94,High,Medium,8,77,Male,74
20,71,High,Medium,8,77,Male,66
30,81,Medium,High,8,72,Male,68
22,78,Medium,High,5,70,Male,68
19,60,Medium,High,10,51,Female,62
25,82,Medium,High,7,81,Male,71
7,86,Medium,Low,9,88,Female,63
21,84,High,High,4,90,Male,69
25,89,Medium,Medium,7,81,Male,71
11,83,High,Low,5,67,Male,66
27,63,Medium,High,6,51,Male,64
22,65,Medium,Medium,7,95,Female,65
18,84,Medium,High,6,71,Female,69
24,71,Medium,Low,9,80,Female,66
34,63,Medium,High,10,60,Female,67
21,77,Medium,Low,6,57,Male,65
21,82,Low,Low,6,54,Male,65
17,73,High,Medium,5,90,Male,67
15,89,Low,Medium,9,82,Male,66
25,86,Medium,Medium,7,81,Male,69
15,73,Medium,High,7,96,Male,64
20,90,Medium,Medium,7,58,Male,70
17,86,High,Medium,7,59,Male,68
23,85,High,Low,6,59,Male,68
22,82,High,Medium,7,71,Female,69
26,60,Medium,Medium,7,94,Female,68
17,88,Medium,Medium,8,94,Female,70
18,75,High,Medium,5,80,Female,67
14,98,High,High,7,83,Male,72
17,93,High,Low,6,95,Male,69
22,84,High,Medium,7,81,Male,69
25,70,Low,Medium,8,61,Female,64
14,68,Low,Medium,6,85,Female,63
25,74,High,High,9,88,Male,70
28,79,High,Medium,4,82,Male,70
22,72,High,Medium,9,64,Female,66
31,81,Medium,Medium,9,70,Female,70
15,67,Medium,High,6,74,Female,66
13,99,Medium,Medium,6,57,Male,68
9,64,Medium,Medium,5,73,Male,61
29,97,Medium,Medium,8,58,Female,72
24,97,High,Low,7,75,Female,69
20,81,Medium,Low,6,53,Female,63
22,89,Medium,High,5,97,Male,72
13,77,Medium,Medium,10,62,Male,65
35,85,Medium,High,6,73,Female,74
21,74,Medium,Low,7,52,Male,62
21,72,High,Medium,7,60,Male,65
24,83,Low,High,6,85,Female,68
23,80,Medium,Low,6,56,Male,66
21,83,High,Medium,6,81,Male,71
15,71,Medium,High,8,50,Female,62
23,75,Low,High,6,73,Female,65
31,63,Medium,High,9,86,Male,68
28,62,Medium,High,6,96,Male,70
30,70,Low,Medium,8,75,Female,67
17,63,Medium,Medium,4,92,Female,63
14,64,High,High,6,90,Female,63
19,93,Medium,High,6,65,Male,69
20,62,Low,Medium,5,94,Male,66
27,86,Medium,Medium,7,82,Female,70
10,71,Medium,Medium,7,55,Female,63
29,95,Low,Medium,4,97,Female,72
19,79,High,Medium,10,59,Male,65
17,72,Medium,High,7,74,Male,67
14,81,Medium,Medium,7,73,Male,63
10,75,High,Medium,9,81,Female,65
25,83,Medium,Medium,8,83,Female,67
20,65,Medium,Low,7,62,Male,80
12,100,Medium,Medium,4,68,Male,68
12,77,Medium,Medium,8,57,Male,63
18,74,Medium,Medium,6,56,Male,64
30,88,Medium,Medium,9,91,Female,73
18,75,Medium,Medium,6,88,Female,66
11,93,Medium,Medium,6,72,Male,66
19,78,High,High,5,55,Male,66
18,89,Medium,High,5,72,Female,69
4,64,Medium,High,7,65,Male,59
20,94,Medium,Medium,7,89,Male,68
19,89,Medium,Medium,6,55,Female,67
24,68,Medium,Medium,10,73,Female,64
31,66,Low,High,8,80,Female,65
27,73,Medium,Medium,7,99,Male,68
18,99,Medium,High,4,54,Male,70
13,70,Medium,Medium,8,56,Male,62
35,78,High,Low,10,99,Male,72
20,61,Medium,Low,7,70,Female,62
20,76,High,High,6,87,Male,68
20,83,High,Medium,7,89,Female,69
21,98,High,Medium,5,66,Male,73
19,81,High,High,8,61,Male,69
17,93,Medium,Medium,9,64,Female,67
17,82,Medium,Low,6,88,Male,65
20,62,Low,Low,6,92,Male,63
17,73,High,Medium,7,85,Male,66
16,83,Medium,Medium,6,72,Male,66
21,98,Medium,High,5,63,Male,70
18,94,Medium,Medium,6,71,Male,69
29,69,Medium,High,6,96,Female,70
4,69,Medium,Low,9,93,Female,58
27,68,Medium,Medium,9,66,Male,67
27,97,High,High,9,66,Male,73
8,94,High,Low,8,89,Female,66
18,91,High,High,7,71,Male,70
18,76,High,High,6,79,Female,67
12,80,Low,Low,9,71,Female,60
15,79,High,Medium,8,62,Male,65
13,70,Medium,Medium,5,59,Female,63
31,80,High,High,6,57,Female,72
26,61,Low,Medium,5,51,Female,62
28,65,Medium,Medium,4,64,Male,70
24,95,High,Low,8,59,Male,70
13,90,Medium,Medium,5,63,Female,64
17,77,Medium,Medium,6,54,Male,64
23,81,Medium,Low,7,67,Female,67
13,75,Medium,High,7,76,Male,64
24,90,Medium,Medium,6,97,Male,72
19,91,Medium,Low,9,67,Female,66
18,91,Medium,Medium,5,52,Female,66
24,89,Medium,High,5,68,Female,71
23,68,Low,Low,8,91,Female,66
18,74,Medium,Low,6,67,Male,64
27,79,Medium,Low,6,65,Male,66
14,73,Medium,Low,5,96,Female,62
24,90,Medium,Medium,8,65,Male,70
24,73,Medium,Medium,7,99,Female,69
18,66,High,Medium,7,92,Male,65
22,76,High,Medium,6,84,Male,70
12,99,High,High,6,80,Male,70
26,69,Medium,Medium,7,61,Male,67
19,84,Medium,High,8,87,Female,69
17,77,Low,Medium,9,67,Female,62
26,63,Medium,High,9,74,Female,67
16,80,High,Medium,8,55,Male,65
12,88,Medium,Medium,8,65,Male,65
11,81,Medium,High,5,76,Male,65
24,95,Medium,Low,6,73,Male,69
12,72,Medium,Medium,8,67,Male,63
31,63,Low,High,7,74,Male,66
8,97,Medium,High,8,87,Male,67
30,75,Medium,Medium,8,73,Male,69
21,83,Medium,Medium,8,75,Male,67
19,92,Medium,Medium,5,85,Male,70
